id,address,battery,ict,lamp,latitude,longitude,postalCode
214,"80 MARINE PARADE ROAD, #B1-84",1,0,1,1.301578,103.905439,449269
215,"68 ORCHARD ROAD, #B2-15",1,0,1,1.300005,103.844626,238839
216,"1 STAMFORD ROAD, RAFFLES CITY SHOPPING CENTRE, #B1-01",1,0,1,1.293275,103.853329,179103
217,"2 FIRST STREET, #01-05",1,0,1,1.312851,103.923649,458278
218,"163 TANGLIN ROAD, TANGLIN MALL, #B1-01",1,0,1,1.3048201,103.8238677,247933
219,"1 VISTA EXCHANGE GREEN, THE STAR VISTA, #B1-02",1,0,1,1.306952,103.788163,138617
220,"81 CLEMENCEAU AVENUE, UE SQUARE, #02-15",1,0,1,1.2920393,103.8425504,239917
221,"101 THOMSON ROAD, UNITED SQUARE, #B1-29",1,0,1,1.3172014,103.8438907,307591
222,"154 WEST COAST ROAD, WEST COAST PLAZA, #B1-19",1,0,1,1.303478,103.7658546,127371
223,"10 BUKIT BATOK CENTRAL, #01-08",1,0,1,1.3490572,103.7495906,659958
224,"100 TRAS ST, 100AM, #B1-01",1,0,1,1.2744387,103.8434532,79027
225,"111 SOMERSET RD, #01-21 TO 30",1,0,1,1.3002156,103.8374613,238164
226,"114 ALJUNIED AVE 2, #01-75",1,0,1,1.321782243,103.887211,380114
227,"135 JURONG GATEWAY RD, #01-337",1,0,1,1.3338574,103.7397672,600135
228,"140 TECK WHYE LANE, #01-351",1,0,1,1.37994,103.753104,680140
229,"166 BUKIT MERAH CENTRAL, #01-3531 & 02-3531",1,0,1,1.28291895,103.8175866,150166
230,"18 TAI SENG ST MAPLE TREE 18, #B1-13",1,0,1,1.336255518,103.888802,539775
231,"192 TOA PAYOH LOR 4, #01-670/672",1,0,1,1.331554,103.851024,310192
232,"202 HOUGANG ST 21, #01-00",1,0,1,1.35756,103.884137,530202
233,"212 BEDOK NTH ST 1, #01-147",1,0,1,1.326128444,103.9316184,460212
234,"28 DOVER CRESCENT, 28 DOVER CRESCENT, #01-83",1,0,1,1.30475945,103.7816941,130028
235,"29B CHAI CHEE AVENUE, #01-62",1,0,1,1.324307,103.923797,462029
236,"345 JURONG EAST ST 31, #01-29",1,0,1,1.3455358,103.7312649,600345
237,"355 SEMBAWANG WAY, #01-01",1,0,1,1.4494926,103.8186677,750355
238,"36 HOLLAND DR, #01-03/04/05",1,0,1,1.309243,103.792777,270036
239,"414 YISHUN RING RD, #01-185",1,0,1,1.4247726,103.8466172,760414
240,"451 CLEMENTI AVE 3, 451 AVE 3, #01-307",1,0,1,1.3127541,103.7657087,120451
241,"460 ALEXANDRA RD, 460 ALEXANDRA RD, #01-09 AND #01-16",1,0,1,1.273581,103.801395,119963
242,"475 TAMPINES ST 44, #01-145",1,0,1,1.36033435,103.9531026,520475
243,"5 UPPER BOON KENG RD, #01-05",1,0,1,1.3126684,103.8721363,80005
244,"50 HAVELOCK RD, 50 HAVELOCK RD, #01-755",1,0,1,1.289772,103.826828,160050
245,"500 LOR 6 TOA PAYOH, #B1-32/#01-33",1,0,1,1.330623,103.854287,310500
246,"502 WEST COAST DR, 502 WEST COAST DR, #01-41",1,0,1,1.31190435,103.7591763,120502
247,"51 UPPER SERANGOON RD, THE POIZ CENTRE, #01-30 TO 32, 41 TO 49",1,0,1,1.331436,103.868571,347697
248,"510 BISHAN ST 13, #01-520",1,0,1,1.348853,103.849777,570510
249,"511 CANBERRA RD, #02-03",1,0,1,1.45394,103.81945,750511
250,6 MARINE PARADE CENTRAL,1,0,1,1.301342,103.9071774,449411
251,612/620 GEYLANG LOR 38,1,0,1,1.314254,103.888574,389551
252,"63/66 YUNG KUANG RD, 66 YUNG KANG RD, #01-119 AND #02-119",1,0,1,1.332087,103.722429,610063
253,"71 KALLANG BAHRU, #01-529/#02-531",1,0,1,1.31364,103.863036,330071
254,"712 ANG MO KIO AVE 6, 712 ANG MO KIO, #01-4056",1,0,1,1.371469,103.8470492,560712
255,"80 LORONG LIMAU, #01-19",1,0,1,1.323904,103.855763,320080
256,"808 FRENCH RD #01-01, #01-01",1,0,1,1.308810144,103.8618219,200808
257,"849 YISHUN RING RD, #01-370",1,0,1,1.4169593,103.8353519,760849
258,"866A TAMPINES ST 83, #01-01",1,0,1,1.3553016,103.9342996,521866
259,"888 WOODLANDS DR 50, #01-757",1,0,1,1.437796,103.79528,730888
260,"311 NEW UPPER CHANGI RD, BEDOK MALL, #B2-60",1,0,1,1.32481115,103.9292544,467360
261,"221 BOON LAY PLACE, BOON LAY SHOPPING CENTRE, #02-200",1,0,1,1.34633675,103.7127614,640221
262,"1 JELEBU RD, BUKIT PANJANG PLAZA, #01-15 & #02-20",1,0,1,1.37956,103.7643061,677743
263,"1 JLN ANAK BUKIT, BUKIT TIMAH PLAZA, #B1-01 & #B2-01",1,0,1,1.3386426,103.7784798,588996
264,"133 CANBERRA VIEW, CANBERRA PLAZA, #B1-03/04",1,0,1,1.443223584,103.8305364,750133
265,"5 CHANGI BUSINESS PARK CENTRAL 1, CHANGI CITY POINT, #B1-09/10/11",1,0,1,1.334449,103.962887,486038
266,"133 NEW BRIDGE RD, CHINATOWN POINT, #B1-01",1,0,1,1.285849,103.84517,59413
267,"180 KITCHENER RD, CITY SQUARE MALL, #B1-09/10",1,0,1,1.3112429,103.8565772,208539
268,"277C COMPASSVALE LINK, #01-13",1,0,1,1.382304,103.893724,544277
269,"57 DAWSON RD, DAWSON PLACE, #01-07",1,0,1,1.2925348,103.8113068,142057
270,"108 DEPOT RD, DEPOT HEIGHTS SHOPPING CENTRE, #01-01",1,0,1,1.28115,103.810041,100108
271,"3 SIMEI ST 6, EASTPOINT, #05-01",1,0,1,1.34270712,103.9531058,528833
272,"17 PETIR RD, HILLION MALL, #B2-67",1,0,1,1.373792009,103.8084926,678278
273,"2 BUKIT BATOK WEST AVE 7, HOMETEAM NS BUKIT BATOK CLUBHOUSE, #01-10",1,0,1,1.365956,103.749974,659003
274,"90 HOUGANG AVE 10, HOUGANG MALL, #B1-07",1,0,1,1.37243,103.893756,538766
275,"2 JOO CHIAT RD, JOO CHIAT COMPLEX, #01-1139 / #02-1139",1,0,1,1.3157129,103.8987798,420002
276,"9 BISHAN PLACE, JUNCTION 8 SHOPPING CENTRE, #B1-01",1,0,1,1.350633,103.849014,579837
277,"1 JURONG WEST CENTRAL 2, JURONG POINT 1, #B1-09",1,0,1,1.33949635,103.705254,648886
278,"676 WOODLANDS DR 71, KAMPUND ADMIRALTY, #B1-02",1,0,1,1.439875,103.800494,730676
279,"100 HOUGANG AVE 10, KANG KAR MALL, #01-01/#02-01",1,0,1,1.3717185,103.894229,538767
280,"533 CHOA CHUA KANG ST 51, LIMBANG SHOPPING CENTRE, #01-11",1,0,1,1.392246,103.743077,680533
281,"21 CHOA CHU KANG AVE 4, LOT 1 SHOPPERS' MALL, #B1-03",1,0,1,1.38505675,103.7450277,689812
282,"71 WOODLANDS AVE 3, MARSLING MRT, #01-01",1,0,1,1.43264,103.77429,739044
283,"1 NORTHPOINT DRIVE, NORTHPOINT CITY, #B2-103 TO 107",1,0,1,1.4284,103.835915,768019
284,"1 LOWER KENT RIDGE RD, NUH MEDICAL CENTRE, #02-16",1,0,1,1.294066,103.784546,119082
